ID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,trip_type,congestion_surcharge
T05226,2.0,2021-07-03 21:23:05,2021-07-04 20:09:24,N,1.0,129,28,1.0,8.49,29.5,0.5,0.5,0.0,0.0,,0.3,30.8,1.0,0.0
T02377,2.0,2021-07-02 10:22:04,2021-07-02 10:37:16,N,1.0,41,142,1.0,2.67,12.5,0.0,0.5,1.0,0.0,,0.3,17.05,1.0,2.75
T08294,1.0,2021-07-06 11:36:27,2021-07-06 11:50:46,N,1.0,227,181,1.0,0.0,10.2,0.0,0.5,0.0,0.0,,0.3,11.0,1.0,0.0
T00815,2.0,2021-07-01 13:59:41,2021-07-01 14:14:48,N,1.0,130,205,1.0,2.8,13.0,0.0,0.5,3.45,0.0,,0.3,17.25,1.0,0.0
T04025,2.0,2021-07-03 08:36:06,2021-07-03 08:43:12,N,1.0,166,166,1.0,1.75,8.0,0.0,0.5,1.0,0.0,,0.3,9.8,1.0,0.0
T07483,2.0,2021-07-05 19:22:53,2021-07-05 19:43:54,N,1.0,241,127,1.0,2.56,14.5,1.0,0.5,0.0,0.0,,0.3,16.3,1.0,0.0
T07847,2.0,2021-07-06 06:01:33,2021-07-06 06:54:52,N,1.0,18,197,1.0,17.83,60.0,0.0,0.5,0.0,6.55,,0.3,67.35,1.0,0.0
T07467,2.0,2021-07-05 19:29:17,2021-07-05 19:33:37,N,1.0,33,40,1.0,1.01,5.5,0.0,0.5,3.0,0.0,,0.3,9.3,1.0,0.0
T06982,2.0,2021-07-05 14:18:41,2021-07-05 14:43:55,N,1.0,74,166,1.0,3.14,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0
T08127,2.0,2021-07-06 09:11:12,2021-07-06 09:23:25,N,1.0,95,130,1.0,2.54,11.0,0.0,0.5,2.36,0.0,,0.3,14.16,1.0,0.0
T06527,2.0,2021-07-05 04:41:05,2021-07-05 04:57:15,N,5.0,260,230,2.0,5.08,25.0,0.0,0.0,0.0,0.0,,0.3,28.05,2.0,2.75
T01760,2.0,2021-07-01 21:53:21,2021-07-01 22:02:42,N,1.0,74,159,1.0,1.83,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,1.0,0.0
T01417,2.0,2021-07-01 17:36:27,2021-07-01 18:15:48,N,1.0,74,114,1.0,8.27,29.5,1.0,0.5,2.0,0.0,,0.3,36.05,1.0,2.75
