ID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,trip_type,congestion_surcharge,payment_type
T00876,1.0,2021-07-01 13:41:08,2021-07-01 14:36:53,N,2.0,74,132,1.0,52.0,0.0,0.5,10.0,6.55,,0.3,69.35,1.0,0.0,1.0
T01498,2.0,2021-07-01 18:33:34,2021-07-01 19:20:39,N,5.0,82,143,1.0,22.02,0.0,0.0,2.46,6.55,,0.3,34.08,1.0,2.75,1.0
T08153,2.0,2021-07-06 09:37:59,2021-07-06 09:46:37,N,1.0,74,75,1.0,7.5,0.0,0.5,2.08,0.0,,0.3,10.38,1.0,0.0,1.0
T03394,2.0,2021-07-02 18:24:34,2021-07-02 18:39:57,N,1.0,244,50,1.0,20.0,1.0,0.5,4.91,0.0,,0.3,29.46,1.0,2.75,1.0
T09784,2.0,2021-07-07 08:30:59,2021-07-07 08:40:24,N,1.0,7,129,1.0,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T05973,1.0,2021-07-04 15:29:54,2021-07-04 15:52:17,N,1.0,66,138,1.0,33.5,0.0,0.5,8.55,0.0,,0.3,42.85,1.0,0.0,1.0
T01621,2.0,2021-07-01 19:10:28,2021-07-01 19:18:13,N,1.0,75,263,1.0,7.5,1.0,0.5,2.17,0.0,,0.3,14.22,1.0,2.75,1.0
T03564,1.0,2021-07-02 19:58:43,2021-07-02 20:11:19,N,1.0,75,229,1.0,11.5,3.25,0.5,3.1,0.0,,0.3,18.65,1.0,2.75,1.0
T02032,2.0,2021-07-02 06:28:17,2021-07-02 06:34:02,N,1.0,74,74,1.0,6.0,0.0,0.5,1.36,0.0,,0.3,8.16,1.0,0.0,1.0
T06134,2.0,2021-07-04 17:20:54,2021-07-04 17:36:23,N,5.0,126,42,1.0,16.0,0.0,0.0,0.0,0.0,,0.3,16.3,2.0,0.0,2.0
T00694,1.0,2021-07-01 12:37:54,2021-07-01 12:56:39,N,1.0,65,256,1.0,14.5,0.0,0.5,3.05,0.0,,0.3,18.35,1.0,0.0,1.0
T07911,1.0,2021-07-06 07:11:06,2021-07-06 07:26:27,N,1.0,235,212,1.0,15.2,0.0,0.5,0.0,0.0,,0.3,16.0,1.0,0.0,1.0
T01485,2.0,2021-07-01 18:13:37,2021-07-02 17:57:23,N,1.0,75,237,1.0,11.0,1.0,0.5,1.56,0.0,,0.3,17.11,1.0,2.75,1.0
T06387,2.0,2021-07-04 21:13:07,2021-07-04 21:21:59,N,1.0,74,41,1.0,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T07997,2.0,2021-07-06 08:34:58,2021-07-06 08:55:24,N,1.0,41,243,1.0,18.5,0.0,0.5,2.0,0.0,,0.3,21.3,1.0,0.0,1.0
T05894,2.0,2021-07-04 15:30:36,2021-07-04 16:06:07,N,1.0,75,216,1.0,39.5,0.0,0.5,1.15,6.55,,0.3,48.0,1.0,0.0,1.0
T06830,2.0,2021-07-05 12:56:14,2021-07-05 13:12:12,N,1.0,41,163,1.0,14.5,0.0,0.5,0.0,0.0,,0.3,18.05,1.0,2.75,2.0
T03435,2.0,2021-07-02 18:12:07,2021-07-02 18:30:00,N,1.0,189,61,1.0,13.5,1.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0,2.0
T09992,1.0,2021-07-07 09:17:50,2021-07-07 10:01:45,N,1.0,39,213,1.0,44.2,0.0,0.5,0.0,6.55,,0.3,51.55,1.0,0.0,1.0
T03226,2.0,2021-07-02 17:29:59,2021-07-02 17:39:11,N,1.0,153,136,1.0,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
T08444,2.0,2021-07-06 12:40:09,2021-07-06 12:58:51,N,1.0,97,62,1.0,14.0,0.0,0.5,2.96,0.0,,0.3,17.76,1.0,0.0,1.0
