ID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,trip_type,congestion_surcharge,payment_type
T03315,2.0,2021-07-02 17:19:11,2021-07-02 17:40:02,N,1.0,152,142,1.0,4.3,18.0,1.0,0.5,5.0,0.0,,0.3,27.55,1.0,2.75,1.0
T07720,2.0,2021-07-05 22:48:04,2021-07-05 23:12:02,N,1.0,93,107,2.0,13.52,38.0,0.5,0.5,12.15,6.55,,0.3,60.75,1.0,2.75,1.0
T09695,2.0,2021-07-07 06:29:43,2021-07-07 06:38:42,N,1.0,74,75,1.0,1.55,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T08802,2.0,2021-07-06 15:33:29,2021-07-06 15:43:25,N,1.0,226,129,1.0,1.22,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T01413,2.0,2021-07-01 17:09:07,2021-07-01 18:03:12,N,1.0,55,86,1.0,14.23,45.5,1.0,0.5,0.0,2.45,,0.3,49.75,1.0,0.0,1.0
T08952,1.0,2021-07-06 16:17:26,2021-07-06 16:27:46,N,1.0,75,263,2.0,1.2,8.0,3.75,0.5,1.0,0.0,,0.3,13.55,1.0,2.75,1.0
T00606,1.0,2021-07-01 11:06:44,2021-07-01 11:17:21,N,1.0,212,212,1.0,0.0,7.2,0.0,0.5,0.0,0.0,,0.3,8.0,1.0,0.0,1.0
T02627,2.0,2021-07-02 12:25:21,2021-07-02 12:46:56,N,5.0,82,226,1.0,2.34,25.0,0.0,0.0,0.0,0.0,,0.3,25.3,2.0,0.0,2.0
T05117,1.0,2021-07-03 20:44:40,2021-07-03 20:57:42,N,1.0,244,235,3.0,2.0,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,1.0,0.0,2.0
T07996,2.0,2021-07-06 08:55:43,2021-07-06 09:04:04,N,1.0,41,74,1.0,0.94,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,0.0,1.0
T06293,1.0,2021-07-04 20:22:05,2021-07-04 20:46:31,N,1.0,65,61,2.0,4.5,19.5,0.5,0.5,0.0,0.0,,0.3,20.8,1.0,0.0,2.0
T09851,2.0,2021-07-07 08:19:41,2021-07-07 08:48:59,N,1.0,74,18,1.0,5.73,24.0,0.0,0.5,0.0,0.0,,0.3,24.8,1.0,0.0,2.0
T04896,2.0,2021-07-03 17:30:35,2021-07-03 17:36:48,N,5.0,41,74,1.0,0.75,10.0,0.0,0.0,0.0,0.0,,0.3,10.3,2.0,0.0,2.0
T06444,2.0,2021-07-04 23:47:01,2021-07-05 00:32:01,N,1.0,221,14,1.0,28.63,77.0,0.5,0.5,0.0,6.55,,0.3,84.85,1.0,0.0,1.0
T04828,2.0,2021-07-03 17:09:22,2021-07-03 17:15:30,N,1.0,25,97,1.0,0.85,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,2.0
T07035,1.0,2021-07-05 15:13:59,2021-07-05 15:25:35,N,1.0,65,87,1.0,2.7,11.0,2.75,0.5,3.6,0.0,,0.3,18.15,1.0,2.75,1.0
T02217,2.0,2021-07-02 09:12:02,2021-07-02 09:38:39,N,1.0,127,121,1.0,16.12,43.5,0.0,0.5,5.0,6.55,,0.3,55.85,1.0,0.0,1.0
T08230,2.0,2021-07-06 09:59:09,2021-07-06 10:14:26,N,1.0,75,116,1.0,2.88,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,1.0,0.0,2.0
T06615,1.0,2021-07-05 09:14:25,2021-07-05 09:50:16,N,1.0,14,244,1.0,0.0,44.2,0.0,0.5,0.0,0.0,,0.3,45.0,1.0,0.0,1.0
T03324,2.0,2021-07-02 17:36:27,2021-07-02 18:06:33,N,5.0,69,32,2.0,7.26,18.0,0.0,0.0,0.0,0.0,,0.3,18.3,2.0,0.0,2.0
T05867,1.0,2021-07-04 14:16:02,2021-07-04 14:23:04,N,1.0,136,220,2.0,1.1,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,2.0
T09087,2.0,2021-07-06 17:52:43,2021-07-06 17:52:43,N,1.0,264,264,1.0,0.0,2.5,1.0,0.5,0.0,0.0,,0.3,4.3,1.0,0.0,2.0
T08065,2.0,2021-07-06 08:49:30,2021-07-06 09:01:45,N,1.0,41,236,1.0,1.47,9.0,0.0,0.5,2.51,0.0,,0.3,15.06,1.0,2.75,1.0
T04818,2.0,2021-07-03 17:28:48,2021-07-03 17:56:13,N,1.0,95,141,1.0,11.14,33.5,0.0,0.5,7.41,0.0,,0.3,44.46,1.0,2.75,1.0
T03889,2.0,2021-07-03 00:36:06,2021-07-03 00:56:28,N,1.0,60,81,2.0,6.04,20.0,0.5,0.5,0.0,0.0,,0.3,21.3,1.0,0.0,2.0
T06752,2.0,2021-07-05 11:02:55,2021-07-05 11:10:30,N,1.0,179,138,1.0,3.76,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1.0,0.0,2.0
T07167,2.0,2021-07-05 16:05:32,2021-07-05 16:09:53,N,1.0,75,151,1.0,1.01,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T04863,2.0,2021-07-03 17:50:58,2021-07-03 18:12:01,N,1.0,244,170,1.0,9.15,27.0,0.0,0.5,6.11,0.0,,0.3,36.66,1.0,2.75,1.0
T09562,2.0,2021-07-06 23:36:09,2021-07-06 23:41:37,N,1.0,7,129,1.0,2.01,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T07989,2.0,2021-07-06 08:52:01,2021-07-06 09:00:37,N,1.0,75,140,1.0,1.99,8.5,0.0,0.5,0.0,0.0,,0.3,12.05,1.0,2.75,2.0
T08087,2.0,2021-07-06 09:00:39,2021-07-06 09:22:33,N,1.0,33,170,1.0,6.22,22.0,0.0,0.5,4.75,0.0,,0.3,30.3,1.0,2.75,1.0
T04588,1.0,2021-07-03 15:50:42,2021-07-03 16:06:55,N,1.0,82,198,2.0,3.8,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0,2.0
T04520,1.0,2021-07-03 14:52:39,2021-07-03 15:05:24,N,1.0,97,195,1.0,2.5,10.5,0.0,0.5,2.25,0.0,,0.3,13.55,1.0,0.0,1.0
T08594,2.0,2021-07-06 13:26:52,2021-07-06 14:30:31,N,1.0,14,6,1.0,28.91,84.5,0.0,0.5,0.0,6.55,,0.3,91.85,1.0,0.0,1.0
T09344,2.0,2021-07-06 19:02:23,2021-07-06 19:25:11,N,1.0,65,188,1.0,3.74,16.5,1.0,0.5,1.83,0.0,,0.3,22.08,1.0,0.0,1.0
T00139,2.0,2021-07-01 07:21:33,2021-07-01 07:21:37,N,1.0,74,74,1.0,0.03,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,1.0,0.0,2.0
T07289,2.0,2021-07-05 17:02:58,2021-07-05 17:23:22,N,1.0,75,235,1.0,5.1,17.5,0.0,0.5,0.0,0.0,,0.3,18.3,1.0,0.0,2.0
T00473,2.0,2021-07-01 10:53:09,2021-07-01 11:05:18,N,1.0,116,151,1.0,2.82,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,1.0,0.0,2.0
T07853,2.0,2021-07-06 06:58:55,2021-07-06 07:30:36,N,1.0,74,164,6.0,5.93,25.0,0.0,0.5,0.0,0.0,,0.3,28.55,1.0,2.75,2.0
T07010,2.0,2021-07-05 15:41:31,2021-07-05 16:03:44,N,1.0,74,143,1.0,4.19,17.5,0.0,0.5,0.0,0.0,,0.3,21.05,1.0,2.75,2.0
T00995,2.0,2021-07-01 14:48:50,2021-07-01 14:59:01,N,1.0,43,263,1.0,1.19,8.0,0.0,0.5,3.46,0.0,,0.3,15.01,1.0,2.75,1.0
T01589,1.0,2021-07-01 19:37:51,2021-07-01 19:41:43,N,1.0,75,74,1.0,1.4,6.0,1.0,0.5,1.0,0.0,,0.3,8.8,1.0,0.0,1.0
T03783,2.0,2021-07-02 22:28:52,2021-07-02 22:34:51,N,1.0,41,74,1.0,1.1,6.0,0.5,0.5,1.82,0.0,,0.3,9.12,1.0,0.0,1.0
T08332,1.0,2021-07-06 11:34:51,2021-07-06 11:54:24,N,1.0,97,61,1.0,3.4,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,1.0,0.0,2.0
T01454,2.0,2021-07-01 18:55:42,2021-07-02 18:33:10,N,1.0,82,129,1.0,1.9,11.0,1.0,0.5,0.0,0.0,,0.3,12.8,1.0,0.0,2.0
T07178,2.0,2021-07-05 16:28:59,2021-07-05 16:45:39,N,1.0,74,239,2.0,3.39,14.0,0.0,0.5,1.0,0.0,,0.3,18.55,1.0,2.75,1.0
T02843,2.0,2021-07-02 14:24:20,2021-07-02 14:56:31,N,1.0,40,62,1.0,4.27,22.0,0.0,0.5,0.0,0.0,,0.3,22.8,1.0,0.0,1.0
T07564,2.0,2021-07-05 20:11:52,2021-07-05 20:16:54,N,1.0,75,74,1.0,1.08,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,1.0
T05277,2.0,2021-07-03 22:26:12,2021-07-03 22:38:24,N,1.0,196,134,1.0,2.85,11.5,0.5,0.5,2.56,0.0,,0.3,15.36,1.0,0.0,1.0
T02015,2.0,2021-07-02 06:23:50,2021-07-02 06:45:34,N,1.0,166,259,1.0,9.76,29.5,0.0,0.5,6.06,0.0,,0.3,36.36,1.0,0.0,1.0
T06852,2.0,2021-07-05 13:18:32,2021-07-05 13:24:32,N,1.0,7,179,1.0,0.82,6.0,0.0,0.5,2.04,0.0,,0.3,8.84,1.0,0.0,1.0
T07368,2.0,2021-07-05 18:46:41,2021-07-05 18:52:38,N,1.0,152,116,1.0,1.54,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,2.0
T06265,2.0,2021-07-04 18:59:47,2021-07-04 19:10:09,N,1.0,74,166,1.0,2.2,10.0,0.0,0.5,2.16,0.0,,0.3,12.96,1.0,0.0,1.0
T03902,2.0,2021-07-03 01:05:05,2021-07-03 01:15:23,N,1.0,223,83,1.0,2.89,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,1.0,0.0,2.0
T08005,2.0,2021-07-06 08:42:50,2021-07-06 08:57:46,N,1.0,152,74,1.0,1.86,11.0,0.0,0.5,1.0,0.0,,0.3,12.8,1.0,0.0,1.0
T04611,2.0,2021-07-03 15:17:23,2021-07-03 15:31:57,N,1.0,74,159,1.0,3.08,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1.0,0.0,2.0
T01676,1.0,2021-07-01 19:03:07,2021-07-01 19:18:33,N,1.0,65,17,1.0,2.6,11.5,1.0,0.5,3.3,0.0,,0.3,16.6,1.0,0.0,1.0
T03797,2.0,2021-07-02 22:56:53,2021-07-02 23:14:43,N,1.0,256,141,1.0,5.07,17.5,0.5,0.5,4.31,0.0,,0.3,25.86,1.0,2.75,1.0
T06065,2.0,2021-07-04 17:54:20,2021-07-04 17:58:17,N,1.0,42,41,1.0,0.65,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,1.0,0.0,2.0
T03507,2.0,2021-07-02 19:33:36,2021-07-02 19:48:05,N,1.0,75,137,1.0,4.36,15.0,1.0,0.5,2.0,0.0,,0.3,21.55,1.0,2.75,1.0
T02691,2.0,2021-07-02 11:49:48,2021-07-02 12:05:14,N,1.0,260,7,1.0,1.93,11.0,0.0,0.5,3.54,0.0,,0.3,15.34,1.0,0.0,1.0
T01500,2.0,2021-07-01 18:40:33,2021-07-01 18:45:30,N,1.0,75,263,6.0,0.5,5.0,1.0,0.5,1.36,0.0,,0.3,8.16,1.0,0.0,1.0
T04914,2.0,2021-07-03 17:08:51,2021-07-03 17:15:32,N,1.0,75,262,1.0,1.81,7.5,0.0,0.5,2.0,0.0,,0.3,13.05,1.0,2.75,1.0
T01215,2.0,2021-07-01 16:11:02,2021-07-01 16:25:16,N,1.0,74,74,1.0,1.33,10.0,1.0,0.5,1.0,0.0,,0.3,12.8,1.0,0.0,1.0
T05206,2.0,2021-07-03 21:07:10,2021-07-03 21:08:20,N,1.0,75,74,1.0,0.28,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,1.0,0.0,2.0
T07919,2.0,2021-07-06 07:38:47,2021-07-06 08:48:05,N,1.0,51,25,1.0,21.77,69.0,0.0,0.5,0.0,6.55,,0.3,76.35,1.0,0.0,1.0
T09269,2.0,2021-07-06 18:54:41,2021-07-06 19:11:25,N,1.0,74,141,1.0,3.21,14.0,1.0,0.5,1.0,0.0,,0.3,19.55,1.0,2.75,1.0
T09845,2.0,2021-07-07 07:31:16,2021-07-07 07:41:38,N,1.0,74,166,1.0,1.92,9.0,0.0,0.5,1.0,0.0,,0.3,10.8,1.0,0.0,1.0
T01974,2.0,2021-07-02 04:35:42,2021-07-02 05:12:24,N,1.0,126,168,1.0,10.15,35.0,0.5,0.5,0.0,0.0,,0.3,36.3,1.0,0.0,1.0
T00697,2.0,2021-07-01 12:14:17,2021-07-01 12:51:27,N,1.0,181,61,1.0,4.91,24.5,0.0,0.5,0.0,0.0,,0.3,25.3,1.0,0.0,1.0
T08385,2.0,2021-07-06 11:41:59,2021-07-06 11:43:14,N,5.0,243,243,1.0,0.12,30.0,0.0,0.0,0.0,0.0,,0.3,30.3,2.0,0.0,1.0
T03138,2.0,2021-07-02 16:37:52,2021-07-02 16:47:15,N,1.0,41,74,1.0,0.99,7.5,1.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0,2.0
